customer_id,total_spend,segment
AA-103151,1445,Low Value
AA-103152,6105,High Value
AA-103153,633,Low Value
AA-103154,5565,High Value
AA-103751,2407,Medium Value
AA-103752,560,Low Value
AA-103753,1861,Low Value
AA-103754,1056,Low Value
AA-104801,5946,High Value
AA-104802,5253,High Value
AA-104803,4704,Medium Value
AA-104804,1792,Low Value
AA-106451,5264,High Value
AA-106452,2730,Medium Value
AA-106453,2263,Medium Value
AA-106454,5087,High Value
AA-3151,11,Low Value
AA-3152,2234,Medium Value
AA-3751,365,Low Value
AA-3752,27,Low Value
AA-3753,261,Low Value
AA-4801,496,Low Value
AA-4802,1085,Low Value
AA-4803,482,Low Value
AA-6451,1503,Low Value
AA-6452,465,Low Value
AB-100151,10662,High Value
AB-100152,6116,High Value
AB-100153,2375,Medium Value
AB-100154,887,Low Value
AB-100601,2107,Medium Value
AB-100602,3345,Medium Value
AB-100603,5210,High Value
AB-100604,7757,High Value
AB-101051,4309,Medium Value
AB-101052,2949,Medium Value
AB-101053,1234,Low Value
AB-101054,14476,High Value
AB-101501,429,Low Value
AB-101502,9139,High Value
AB-101503,2523,Medium Value
AB-101504,969,Low Value
AB-101651,3435,Medium Value
AB-101652,6437,High Value
AB-101653,668,Low Value
AB-101654,1114,Low Value
AB-102551,4277,Medium Value
AB-102552,949,Low Value
AB-102553,4644,Medium Value
AB-102554,914,Low Value
AB-1051,97,Low Value
AB-1052,64,Low Value
AB-1053,1996,Low Value
AB-106001,7148,High Value
AB-106002,4276,Medium Value
AB-106003,377,Low Value
AB-106004,1515,Low Value
AB-1501,3145,Medium Value
AB-151,2125,Medium Value
AB-152,2481,Medium Value
AB-1651,160,Low Value
AB-1652,411,Low Value
AB-1653,828,Low Value
AB-2551,4083,Medium Value
AB-2552,283,Low Value
AB-2553,313,Low Value
AB-6001,1384,Low Value
AB-6002,4027,Medium Value
AB-601,1483,Low Value
AB-602,287,Low Value
AC-104201,4086,Medium Value
AC-104202,1033,Low Value
AC-104203,4561,Medium Value
AC-104204,926,Low Value
AC-104501,7610,High Value
AC-104502,2295,Medium Value
AC-104503,694,Low Value
AC-104504,5529,High Value
AC-106151,5753,High Value
AC-106152,2738,Medium Value
AC-106153,1699,Low Value
AC-106154,2538,Medium Value
AC-106601,1175,Low Value
AC-106602,2234,Medium Value
AC-106603,2189,Medium Value
AC-106604,658,Low Value
AC-4201,841,Low Value
AC-4202,849,Low Value
AC-4501,670,Low Value
AC-4502,147,Low Value
AC-4503,210,Low Value
AC-6151,1706,Low Value
AC-6152,593,Low Value
AC-6601,2666,Medium Value
AC-6602,10,Low Value
AD-101801,9209,High Value
AD-101802,1001,Low Value
AD-101803,1541,Low Value
AD-101804,6106,High Value
AD-1801,12,Low Value
AD-1802,669,Low Value
AF-108701,10793,High Value
AF-108702,7808,High Value
AF-108703,5832,High Value
AF-108704,2052,Medium Value
AF-108851,8347,High Value
AF-108852,5880,High Value
AF-108853,4621,Medium Value
AF-108854,862,Low Value
AF-8701,672,Low Value
AF-8702,125,Low Value
AF-8703,901,Low Value
AF-8851,139,Low Value
AF-8852,215,Low Value
AG-102701,4771,Medium Value
AG-102702,1663,Low Value
AG-102703,1622,Low Value
AG-102704,2584,Medium Value
AG-103001,3212,Medium Value
AG-103002,6071,High Value
AG-103003,3364,Medium Value
AG-103004,367,Low Value
AG-103301,4208,Medium Value
AG-103302,3590,Medium Value
AG-103303,6078,High Value
AG-103304,662,Low Value
AG-103901,2228,Medium Value
AG-103902,2646,Medium Value
AG-103903,3380,Medium Value
AG-103904,201,Low Value
AG-104951,3451,Medium Value
AG-104952,7461,High Value
AG-104953,2110,Medium Value
AG-104954,2356,Medium Value
AG-105251,324,Low Value
AG-105252,4071,Medium Value
AG-105253,2620,Medium Value
AG-105254,1455,Low Value
AG-106751,3644,Medium Value
AG-106752,2284,Medium Value
AG-106753,3606,Medium Value
AG-106754,3489,Medium Value
AG-107651,1586,Low Value
AG-107652,2159,Medium Value
AG-107653,5913,High Value
AG-107654,170,Low Value
AG-109001,5035,High Value
AG-109002,3108,Medium Value
AG-109003,5519,High Value
AG-109004,4511,Medium Value
AG-2701,1997,Low Value
AG-2702,296,Low Value
AG-2703,486,Low Value
AG-3001,866,Low Value
AG-3002,835,Low Value
AG-3301,513,Low Value
AG-3302,20,Low Value
AG-3901,414,Low Value
AG-3902,59,Low Value
AG-4951,469,Low Value
AG-4952,52,Low Value
AG-4953,482,Low Value
AG-5251,802,Low Value
AG-5252,2067,Medium Value
AG-6751,774,Low Value
AG-6752,1595,Low Value
AG-7651,769,Low Value
AG-7652,1090,Low Value
AG-9001,1698,Low Value
AH-100301,4154,Medium Value
AH-100302,3973,Medium Value
AH-100303,4568,Medium Value
AH-100304,1744,Low Value
AH-100751,7291,High Value
AH-100752,4526,Medium Value
AH-100753,3044,Medium Value
AH-100754,3251,Medium Value
AH-101201,558,Low Value
AH-101202,3590,Medium Value
AH-101203,4044,Medium Value
AH-101204,1736,Low Value
AH-101951,3839,Medium Value
AH-101952,1833,Low Value
AH-101953,5370,High Value
AH-101954,1588,Low Value
AH-102101,1111,Low Value
AH-102102,7417,High Value
AH-102103,7031,High Value
AH-102104,4805,Medium Value
AH-104651,2183,Medium Value
AH-104652,251,Low Value
AH-104653,3621,Medium Value
AH-104654,2495,Medium Value
AH-105851,6205,High Value
AH-105852,1615,Low Value
AH-105853,567,Low Value
AH-105854,738,Low Value
AH-106901,4163,Medium Value
AH-106902,3514,Medium Value
AH-106903,710,Low Value
AH-106904,7889,High Value
AH-1201,1476,Low Value
AH-1202,2,Low Value
AH-1951,80,Low Value
